id,Timestamp,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,gender,Country,Clicked
1200,2016-01-01 02:52:10,80.67,34,58909.36,239.76,Seamless impactful info-mediaries,0,Portugal,0
1201,2016-01-01 03:35:35,68.01,25,68357.96,188.32,Ameliorated actuating workforce,1,Afghanistan,0
1202,2016-01-01 05:31:22,80.94,36,60803.0,239.94,Self-enabling local strategy,0,Bermuda,0
1203,2016-01-01 08:27:06,78.77,28,63497.62,211.83,Public-key intangible Graphical User Interface,0,Guam,0
1204,2016-01-01 15:14:24,36.56,29,42838.29,195.89,Team-oriented bi-directional secured line,0,Uganda,1
1205,2016-01-01 20:17:49,55.79,36,,175.17,Monitored systematic hierarchy,0,Mongolia,1
1206,2016-01-01 20:17:49,46.61,42,65856.74,136.18,Progressive intermediate throughput,0,Ethiopia,1
1207,2016-01-01 21:58:55,75.32,28,59998.5,233.6,Reduced mobile structure,1,Mauritius,0
1208,2016-01-02 04:50:44,79.36,33,62330.75,234.72,Cross-platform directional intranet,1,Gambia,0
1209,2016-01-02 09:30:11,73.1,59,,254.34,Enterprise-wide incremental Internet solution,1,Guyana,1
1210,2016-01-02 09:30:11,81.21,36,63394.41,233.04,User-friendly content-based customer loyalty,0,Turkmenistan,0
1211,2016-01-02 12:25:36,44.96,50,52802.0,132.71,Focused fresh-thinking Graphic Interface,1,Heard Island and McDonald Islands,1
1212,2016-01-02 14:36:03,83.26,40,70225.6,187.76,Decentralized foreground infrastructure,1,Tonga,0
1213,2016-01-03 03:22:15,86.06,42,,108.18,Public-key disintermediate emulation,0,Czech Republic,0
1214,2016-01-03 03:22:15,39.85,38,31343.39,145.96,Profit-focused dedicated utilization,0,Vietnam,1
1215,2016-01-03 04:39:47,35.25,50,47051.02,194.44,Intuitive global website,0,Iran,1
1216,2016-01-03 05:34:33,50.08,30,41629.86,123.91,Sharable grid-enabled matrix,0,Fiji,1
1217,2016-01-03 07:13:53,65.07,24,57545.56,233.85,Multi-lateral multi-state encryption,0,Mali,0
1218,2016-01-03 16:01:40,51.24,36,76368.31,176.73,Versatile transitional monitoring,0,Cuba,1
1219,2016-01-03 16:30:51,76.58,46,41884.64,258.26,Secured 24hour policy,0,Uzbekistan,0
1220,2016-01-03 17:10:05,88.72,32,43870.51,211.87,Customer-focused system-worthy superstructure,1,Zambia,0
1221,2016-01-03 23:21:26,72.8,35,63551.67,249.54,Public-key solution-oriented focus group,0,Puerto Rico,0
1222,2016-01-03 23:21:26,56.56,21,,219.69,Self-enabling zero administration neural-net,0,Canada,0
1223,2016-01-04 00:44:57,48.86,35,62463.7,128.37,Universal empowering adapter,1,Saint Martin,1
1224,2016-01-04 04:00:35,83.16,41,70185.06,194.95,Decentralized 24hour approach,0,Finland,0
1225,2016-01-04 04:00:35,32.91,39,,195.91,Robust transitional ability,0,Japan,1
1226,2016-01-04 06:37:15,73.88,29,63109.74,233.61,Digitized zero-defect implementation,0,Saint Helena,0
1227,2016-01-04 06:37:15,81.1,27,,152.49,Horizontal incremental website,0,Hungary,0
1228,2016-01-04 07:28:43,66.89,23,64433.99,208.24,Universal incremental array,1,Honduras,0
1229,2016-01-04 07:28:43,71.03,26,,140.39,Polarized dynamic throughput,1,Bulgaria,1
1230,2016-01-04 21:48:38,84.53,27,40763.13,168.34,Stand-alone tangible moderator,0,Guatemala,1
1231,2016-01-04 22:27:25,83.91,29,53223.58,222.87,Distributed bifurcated challenge,0,Burundi,0
1232,2016-01-05 00:02:53,46.37,52,32847.53,144.27,De-engineered solution-oriented open architecture,0,French Guiana,1
1233,2016-01-05 04:18:46,49.81,35,57009.76,120.06,Seamless real-time array,1,Faroe Islands,1
1234,2016-01-05 04:18:46,77.89,41,,201.15,Front-line fresh-thinking installation,0,Reunion,0
1235,2016-01-05 06:34:20,76.44,26,58820.16,224.2,Distributed intangible database,1,Madagascar,0
1236,2016-01-05 07:52:48,77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,1,Cameroon,0
1237,2016-01-05 09:42:22,84.0,49,,227.56,Mandatory 4thgeneration structure,1,Tokelau,0
1238,2016-01-05 09:42:22,61.22,45,63883.81,119.03,Streamlined logistical secured line,1,Switzerland,1
1239,2016-01-05 11:53:17,71.23,52,41521.28,122.59,Self-enabling zero administration neural-net,0,Sweden,1
1240,2016-01-05 12:59:07,54.35,28,,123.8,Organic motivating model,1,Algeria,0
1241,2016-01-05 12:59:07,65.56,25,69646.35,181.25,Stand-alone explicit orchestration,1,Somalia,0
1242,2016-01-05 16:26:44,45.11,58,39799.73,195.69,Sharable reciprocal project,0,Netherlands,1
1243,2016-01-05 16:34:31,79.54,44,70492.6,217.68,Centralized multi-state hierarchy,1,Cambodia,0
1244,2016-01-05 17:56:52,56.64,38,61652.53,115.91,Down-sized uniform info-mediaries,0,Montserrat,1
1245,2016-01-05 17:56:52,76.02,47,,203.3,Face-to-face multimedia success,0,Bahamas,0
1246,2016-01-05 20:58:42,78.29,38,57844.96,252.07,Networked regional Local Area Network,0,Liberia,0
1247,2016-01-06 13:20:01,81.03,28,63727.5,201.15,Persevering tertiary capability,0,Venezuela,0
1248,2016-01-06 21:43:22,58.95,28,,172.81,Seamless cohesive conglomeration,0,Bahamas,1
1249,2016-01-06 21:43:22,84.31,29,47139.21,225.87,Object-based optimal solution,0,Djibouti,0
1250,2016-01-07 13:25:21,81.22,53,34309.24,223.09,Networked coherent interface,1,San Marino,0
1251,2016-01-07 13:58:51,51.56,46,63102.19,124.85,Business-focused client-driven forecast,0,Australia,1
1252,2016-01-07 19:16:05,51.5,33,,202.18,Polarized analyzing concept,1,Bouvet Island (Bouvetoya),0
1253,2016-01-07 19:16:05,41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,1,Cuba,1
1254,2016-01-07 21:21:50,68.11,38,73884.48,231.21,Reactive national success,0,Seychelles,0
1255,2016-01-07 21:21:50,81.9,35,,192.57,Expanded value-added emulation,0,Haiti,1
1256,2016-01-07 23:02:43,66.08,61,58966.22,184.23,Synchronized multi-tasking ability,1,Cuba,1
1257,2016-01-07 23:02:43,42.44,36,,182.11,Realigned systematic function,0,Cuba,0
1258,2016-01-08 00:17:27,63.89,40,51317.33,105.22,Synchronized user-facing core,0,Rwanda,1
1259,2016-01-08 02:34:06,80.51,28,64008.55,200.28,Robust dedicated system engine,1,Bangladesh,0
1260,2016-01-08 08:08:47,78.76,24,46422.76,219.98,Reactive interactive protocol,1,Austria,0
1261,2016-01-08 08:08:47,76.07,32,,142.04,Decentralized attitude-oriented interface,0,Russian Federation,1
1262,2016-01-08 09:32:26,44.33,37,52723.34,123.72,Visionary maximized process improvement,1,Trinidad and Tobago,1
1263,2016-01-08 18:13:43,53.63,54,50333.72,126.29,Front-line zero-defect array,1,Liberia,1
1264,2016-01-08 18:13:43,52.7,44,,136.4,Quality-focused hybrid frame,1,Libyan Arab Jamahiriya,0
1265,2016-01-08 19:38:45,79.97,26,61747.98,185.45,Down-sized explicit budgetary management,1,Nepal,0
1266,2016-01-08 22:47:10,39.94,41,64927.19,156.3,Function-based optimizing protocol,0,Lithuania,1
1267,2016-01-09 03:45:19,57.05,41,50278.89,269.96,Seamless full-range website,1,Sierra Leone,1
1268,2016-01-09 03:45:19,63.45,43,,198.86,Balanced actuating moderator,1,Guam,1
1269,2016-01-09 04:53:22,56.7,48,62784.85,123.13,Progressive non-volatile neural-net,0,France,1
1270,2016-01-09 04:53:22,84.73,38,,172.1,Open-architected intangible strategy,0,India,1
1271,2016-01-09 05:44:56,46.13,46,37838.72,123.64,Horizontal hybrid challenge,1,Guyana,1
1272,2016-01-09 07:28:16,87.3,35,58337.18,216.87,Triple-buffered regional toolset,0,Estonia,0
1273,2016-01-09 15:49:28,82.7,35,61383.79,231.07,Visionary multi-tasking alliance,0,Somalia,0
1274,2016-01-09 15:49:28,55.13,33,,183.42,De-engineered attitude-oriented projection,0,Fiji,1
1275,2016-01-09 17:33:03,62.18,23,,221.98,Future-proofed coherent budgetary management,1,France,0
1276,2016-01-09 17:33:03,48.86,54,53188.69,134.46,Proactive encompassing paradigm,0,French Guiana,1
1277,2016-01-10 02:31:19,74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,1,Italy,0
1278,2016-01-10 20:18:21,54.88,38,,156.54,Intuitive global website,1,Greece,0
1279,2016-01-10 20:18:21,79.18,31,58443.99,236.96,Open-source holistic productivity,0,Algeria,0
1280,2016-01-10 23:14:30,66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,0,Svalbard & Jan Mayen Islands,1
1281,2016-01-11 02:07:14,78.35,46,53185.34,253.48,Pre-emptive client-server open system,0,Brazil,0
1282,2016-01-11 02:07:14,39.94,24,,123.51,Universal empowering adapter,0,Latvia,1
1283,2016-01-11 06:02:27,72.45,29,72325.91,195.36,Centralized 24hour synergy,1,Svalbard & Jan Mayen Islands,0
1284,2016-01-11 07:36:22,43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,0,Chile,1
1285,2016-01-11 08:18:12,63.99,43,72802.42,138.46,Ameliorated bandwidth-monitored contingency,0,Haiti,1
1286,2016-01-11 12:46:31,71.27,21,50147.72,216.03,Quality-focused bi-directional throughput,1,Senegal,0
1287,2016-01-12 03:28:31,67.91,23,55002.05,146.8,Re-engineered non-volatile neural-net,1,Latvia,1
1288,2016-01-12 10:07:29,77.05,36,,129.33,Profit-focused secondary portal,1,Argentina,0
1289,2016-01-12 10:07:29,43.49,47,50335.46,127.83,User-centric intangible task-force,0,Belize,1
1290,2016-01-12 21:17:15,69.86,25,50506.44,241.36,Triple-buffered foreground encryption,0,New Zealand,0
1291,2016-01-13 02:39:00,59.22,55,39131.53,126.39,Polarized 5thgeneration matrix,1,Honduras,1
1292,2016-01-13 02:58:27,84.08,30,62336.39,187.36,Face-to-face intermediate approach,1,Fiji,0
1293,2016-01-13 20:38:35,35.55,39,51593.46,151.18,Robust object-oriented Graphic Interface,0,Micronesia,1
1294,2016-01-14 00:23:10,50.63,24,,133.9,Versatile scalable encryption,0,United States of America,1
1295,2016-01-14 00:23:10,75.7,29,67633.44,215.44,Profound zero administration instruction set,0,United States Minor Outlying Islands,0
1296,2016-01-14 08:27:04,59.96,33,77143.61,197.66,Expanded modular application,0,Samoa,1
1297,2016-01-14 09:27:59,44.33,41,43386.07,120.63,Ergonomic empowering frame,0,Guyana,1
1298,2016-01-14 09:27:59,77.44,34,,184.98,Pre-emptive systematic budgetary management,1,Moldova,0
1299,2016-01-14 14:00:09,55.6,23,30227.98,212.58,Multi-layered 4thgeneration knowledge user,0,Senegal,1
1300,2016-01-14 16:30:38,74.84,37,64775.1,246.44,User-friendly impactful time-frame,1,Mongolia,0
1301,2016-01-14 20:58:10,39.36,29,52462.04,161.79,Mandatory disintermediate info-mediaries,1,Bahamas,1
1302,2016-01-15 01:20:05,81.37,33,66412.04,215.04,Enhanced regional conglomeration,0,Vietnam,0
1303,2016-01-15 01:20:05,72.94,36,,136.21,Face-to-face responsive alliance,1,Timor-Leste,0
1304,2016-01-15 19:40:47,79.51,32,,112.52,Horizontal multi-state interface,1,Czech Republic,0
1305,2016-01-15 19:40:47,44.46,42,30487.48,132.66,Intuitive zero-defect framework,1,Mongolia,1
1306,2016-01-15 19:45:33,42.51,30,54755.71,144.77,Grass-roots transitional flexibility,1,Palestinian Territory,1
1307,2016-01-15 22:49:45,50.6,48,65956.71,135.67,Customer-focused fault-tolerant implementation,0,Brazil,1
1308,2016-01-15 22:49:45,46.98,30,,121.07,Object-based optimal solution,0,Trinidad and Tobago,0
1309,2016-01-16 08:01:40,73.41,31,73049.3,201.26,Profound executive flexibility,1,Guam,0
1310,2016-01-16 11:35:01,38.35,25,,231.54,Fundamental tangible moratorium,0,Swaziland,0
1311,2016-01-16 11:35:01,75.74,25,61005.87,215.25,Ergonomic multi-state structure,1,Tunisia,0
1312,2016-01-16 16:40:30,78.68,29,66225.72,208.05,Inverse high-level capability,0,Israel,0
1313,2016-01-16 17:56:05,78.64,31,60283.47,235.28,Integrated client-server definition,1,Nicaragua,0
1314,2016-01-16 17:56:05,75.0,28,,164.02,Assimilated hybrid initiative,1,Slovakia (Slovak Republic),0
1315,2016-01-16 23:37:51,66.63,60,60333.38,176.98,User-friendly upward-trending intranet,0,Madagascar,1
1316,2016-01-17 04:12:30,80.96,39,67866.95,225.0,Integrated leadingedge frame,1,Wallis and Futuna,0
1317,2016-01-17 05:07:11,45.44,50,,182.84,Multi-layered user-facing paradigm,0,Vanuatu,0
1318,2016-01-17 05:07:11,82.72,31,65704.79,179.82,Cross-group global orchestration,0,Belarus,0
1319,2016-01-17 09:31:36,33.33,45,53350.11,193.58,Pre-emptive value-added workforce,1,Guinea-Bissau,1
1320,2016-01-17 13:27:13,78.51,25,59106.12,205.71,Focused web-enabled Graphical User Interface,1,Greece,0
1321,2016-01-17 15:10:31,75.83,24,58019.64,162.44,Diverse stable circuit,0,Nauru,0
1322,2016-01-17 18:45:55,88.85,40,58363.12,213.96,Cloned optimal leverage,0,Bulgaria,0
1323,2016-01-18 02:51:13,40.19,37,55358.88,136.99,Right-sized system-worthy project,0,France,1
1324,2016-01-18 15:18:01,57.64,36,37212.54,110.25,Robust web-enabled attitude,1,Chile,1
1325,2016-01-19 12:18:13,73.19,25,64267.88,203.74,Cloned incremental matrices,1,Pakistan,0
1326,2016-01-20 00:26:15,66.17,33,69869.66,238.45,Cross-group neutral synergy,0,Panama,0
1327,2016-01-20 02:31:36,68.95,31,,149.67,Synchronized zero tolerance product,0,Sao Tome and Principe,0
1328,2016-01-20 02:31:36,74.18,28,69874.18,203.87,Front-line even-keeled website,0,Cayman Islands,0
1329,2016-01-20 19:09:37,35.61,39,,216.03,Programmable uniform productivity,0,Honduras,0
1330,2016-01-20 19:09:37,79.15,26,62312.23,203.23,Intuitive explicit conglomeration,0,Greenland,0
1331,2016-01-21 04:30:43,75.8,36,71222.4,224.9,Multi-layered fresh-thinking neural-net,0,Belize,0
1332,2016-01-21 18:51:01,77.14,24,60283.98,184.88,Horizontal heuristic synergy,1,Iceland,0
1333,2016-01-21 22:51:34,67.85,41,78520.99,202.7,Reactive tangible contingency,1,Saint Helena,1
1334,2016-01-21 23:33:22,48.46,49,61230.03,132.38,Devolved human-resource circuit,1,Indonesia,1
1335,2016-01-21 23:33:22,76.83,50,,151.63,Re-engineered demand-driven capacity,0,Turkmenistan,0
1336,2016-01-21 23:48:29,77.05,27,66624.6,191.14,Reduced bi-directional strategy,0,United Arab Emirates,0
1337,2016-01-21 23:48:29,87.27,36,,227.53,Persevering even-keeled help-desk,1,Faroe Islands,0
1338,2016-01-22 12:58:14,70.09,21,54725.87,211.17,Automated full-range Internet solution,0,Belarus,0
1339,2016-01-22 15:03:25,44.15,28,48867.67,141.96,Proactive secondary monitoring,1,Martinique,1
1340,2016-01-22 19:43:53,56.16,25,66429.84,164.25,Seamless motivating approach,1,Cote d'Ivoire,1
1341,2016-01-23 01:42:28,69.01,36,,119.47,Synergized context-sensitive database,1,Andorra,0
1342,2016-01-23 01:42:28,76.07,36,68033.54,235.56,Implemented bottom-line implementation,0,Denmark,0
1343,2016-01-23 04:47:37,78.37,24,55015.08,207.27,Quality-focused zero-defect budgetary management,0,Pakistan,0
1344,2016-01-23 13:14:18,56.57,26,56435.6,131.98,Multi-channeled non-volatile website,0,Senegal,1
1345,2016-01-23 15:02:13,50.52,31,72270.88,171.62,Function-based stable alliance,0,New Caledonia,1
